game_pk,game_date,home_odds,home_id,home_name,home_winner,home_last5_o_hardhit,home_last5_o_launch_speed,home_last5_o_launch_angle,home_last5_o_xwoba,home_last_p_hardhit,home_last_p_launch_speed,home_last_p_launch_angle,home_last_p_xwoba,away_odds,away_id,away_name,away_winner,away_last5_o_hardhit,away_last5_o_launch_speed,away_last5_o_launch_angle,away_last5_o_xwoba,away_last_p_hardhit,away_last_p_launch_speed,away_last_p_launch_angle,away_last_p_xwoba
564752,2019-05-04,114,108,LAA,false,43.03548303548304,89.11999999999999,12.48,0.34800000000000003,46.93434343434344,89.25,15.066666666666668,0.35400000000000004,-130,117,HOU,true,36.2474591112362,88.74000000000001,19.6,0.2742,39.70177045177045,88.88333333333334,9.183333333333334,0.2723333333333333
564755,2019-05-18,-174,108,LAA,true,37.56711030904579,88.30000000000001,11.42,0.3536,40.010351966873706,87.09999999999998,18.633333333333336,0.2893333333333333,148,118,KC,false,24.457281848586195,83.84,9.9,0.2992,42.32811559432459,88.83333333333333,11.077777777777778,0.3378888888888889
564756,2019-05-19,-164,108,LAA,false,40.76869133671378,89.7,8.459999999999999,0.36239999999999994,41.94071665140642,88.08571428571429,15.257142857142856,0.2904285714285714,142,118,KC,true,26.81235431235431,84.72,9.4,0.2884,42.675324675324674,90.0,10.325,0.32025
564760,2019-05-24,-168,108,LAA,false,33.33977455716586,87.84,15.24,0.343,37.29943064182195,86.75,17.875,0.2775,146,140,TEX,true,48.13377404864819,89.91999999999999,10.52,0.3628,43.016705516705514,90.03333333333335,11.066666666666668,0.3438333333333334
564761,2019-05-25,-122,108,LAA,true,32.94122383252818,87.08,15.280000000000001,0.3316,40.50247489606757,87.8,14.937500000000002,0.291,106,140,TEX,false,43.78594796169167,89.03999999999999,11.2,0.36839999999999995,37.98585762064023,87.8,13.319999999999999,0.2932
564763,2019-06-04,-122,108,LAA,false,38.49524597266533,88.0,11.780000000000001,0.35940000000000005,36.068793949228734,86.61666666666667,16.2,0.299,106,133,OAK,true,42.49495209495209,87.98,16.9,0.3474,36.418990457927926,87.10000000000001,11.309090909090909,0.28645454545454546
564768,2019-06-09,-144,108,LAA,false,38.70750988142292,89.08,12.680000000000001,0.3646,26.31578947368421,83.6,28.5,0.301,126,136,SEA,true,43.45692306925313,89.25999999999999,18.8,0.3326,43.18181818181818,90.4,13.2,0.399
564769,2019-06-10,144,108,LAA,true,41.67193675889328,90.03999999999999,12.600000000000001,0.37700000000000006,37.2018233850532,87.37142857142858,16.8,0.3032857142857143,-166,119,LAD,false,47.84236453201971,90.7,13.62,0.317,32.5244851685014,86.19166666666666,7.833333333333333,0.2650833333333334
564770,2019-06-11,136,108,LAA,true,40.38622247317899,89.66,10.42,0.3594,42.75983436853002,88.64999999999999,10.816666666666665,0.35283333333333333,-156,119,LAD,false,41.028571428571425,88.86,14.540000000000001,0.2878,31.864477813781217,85.51666666666667,13.933333333333337,0.29041666666666666
564771,2019-06-25,-154,108,LAA,true,38.271945259042035,86.93999999999998,6.980000000000001,0.3276,41.08380072089858,89.48,20.34,0.2974,134,113,CIN,false,35.00149528410398,86.05999999999999,10.86,0.2888,39.858130475594855,88.64285714285714,9.364285714285714,0.3032142857142857
564773,2019-06-27,-154,108,LAA,true,37.70288624787776,87.28,8.879999999999999,0.3262,35.8847546304068,87.74000000000001,16.950000000000003,0.3146,134,133,OAK,false,45.30471943515422,90.08,11.08,0.3242,48.617283950617285,89.23333333333333,8.733333333333334,0.349
564775,2019-06-29,-144,108,LAA,false,38.33586975612364,88.08000000000001,12.08,0.34940000000000004,39.449918977830826,88.11428571428571,15.335714285714289,0.2970714285714286,126,133,OAK,true,41.35587761674718,89.16000000000001,18.42,0.3196,41.14725580135063,88.35,9.96875,0.324125
564776,2019-06-30,-136,108,LAA,false,39.94877298193009,89.42,12.379999999999999,0.3296,41.25404446039794,89.76666666666665,19.666666666666668,0.29700000000000004,118,133,OAK,true,39.84558013390965,88.74,16.46,0.31720000000000004,36.28132481590152,86.05,16.14166666666667,0.304
564777,2019-07-12,-162,108,LAA,true,36.877505103592064,88.53999999999999,9.56,0.3146,51.85185185185185,89.6,8.8,0.326,140,136,SEA,false,32.71491822535465,87.82000000000002,12.58,0.2968,46.608123044231206,90.95555555555555,11.622222222222222,0.34788888888888886
564782,2019-07-17,158,108,LAA,false,36.92121212121212,88.47999999999999,10.16,0.334,49.736111111111114,92.0,16.599999999999998,0.37475,-184,117,HOU,true,36.581266753680545,89.24000000000001,13.280000000000001,0.3726,41.53333497751656,88.28999999999999,11.625000000000002,0.27070000000000005
564784,2019-07-25,-230,108,LAA,false,33.53131742399477,87.66,11.0,0.2918,37.89668977638903,88.1857142857143,16.785714285714285,0.33599999999999997,196,110,BAL,true,49.75070028011204,90.56,11.680000000000001,0.31880000000000003,54.78571428571429,92.65,18.45,0.3655
564786,2019-07-27,-180,108,LAA,false,34.31131975540469,87.44000000000001,15.36,0.30040000000000006,38.46153846153847,89.2,8.7,0.322,165,110,BAL,true,47.503916056583634,90.26,14.16,0.2976,35.38128538128538,87.96666666666665,11.733333333333334,0.326
564787,2019-07-28,-210,108,LAA,true,35.57505601914096,88.18,16.240000000000002,0.28820000000000007,48.53888888888889,91.14,15.879999999999999,0.3738,180,110,BAL,false,46.0753446280122,90.08,11.94,0.30979999999999996,34.73056663884926,87.51052631578948,13.494736842105262,0.3081578947368421
